date,EHF
1989-01-01,-2.6417
1989-02-01,-3.6029
1989-03-01,-4.7609
1989-04-01,-5.374
1989-05-01,-8.1372
1989-06-01,-6.327
1989-07-01,-5.9805
1989-08-01,-6.6451
1989-09-01,-11.45
1989-10-01,-18.034
1989-11-01,-13.863
1989-12-01,-9.6603
1990-01-01,-3.4084
1990-02-01,-4.2009
1990-03-01,-4.3589
1990-04-01,-6.0312
1990-05-01,-4.907
1990-06-01,-7.3835
1990-07-01,-8.8092
1990-08-01,-7.6616
1990-09-01,-14.184
1990-10-01,-8.608
1990-11-01,-8.7453
1990-12-01,-10.873
1991-01-01,-4.5016
1991-02-01,-3.457
1991-03-01,-4.7299
1991-04-01,-7.3337
1991-05-01,-5.6226
1991-06-01,-8.2501
1991-07-01,-8.8389
1991-08-01,-9.946
1991-09-01,-14.527
1991-10-01,-23.641
1991-11-01,-19.652
1991-12-01,-5.3635
1992-01-01,-3.3897
1992-02-01,-4.1056
1992-03-01,-7.3128
1992-04-01,-6.4226
1992-05-01,-10.708
1992-06-01,-12.63
1992-07-01,-8.2303
1992-08-01,-6.4586
1992-09-01,-15.904
1992-10-01,-18.609
1992-11-01,-8.8893
1992-12-01,-11.559
1993-01-01,-5.0454
1993-02-01,-5.6423
1993-03-01,-4.721
1993-04-01,-6.1271
1993-05-01,-6.6688
1993-06-01,-8.0069
1993-07-01,-9.578
1993-08-01,-13.249
1993-09-01,-10.47
1993-10-01,-17.187
1993-11-01,-13.614
1993-12-01,-8.9493
1994-01-01,-4.5209
1994-02-01,-3.9031
1994-03-01,-6.5373
1994-04-01,-6.924
1994-05-01,-9.2446
1994-06-01,-4.9151
1994-07-01,-8.3439
1994-08-01,-10.003
1994-09-01,-10.461
1994-10-01,-24.854
1994-11-01,-21.804
1994-12-01,-6.8026
1995-01-01,-3.2685
1995-02-01,-3.9849
1995-03-01,-4.8
1995-04-01,-6.3338
1995-05-01,-6.9539
1995-06-01,-5.2951
1995-07-01,-9.5915
1995-08-01,-10.942
1995-09-01,-10.214
1995-10-01,-15.423
1995-11-01,-13.313
1995-12-01,-9.8945
1996-01-01,-3.2955
1996-02-01,-4.4572
1996-03-01,-4.8381
1996-04-01,-5.1194
1996-05-01,-6.751
1996-06-01,-11.194
1996-07-01,-9.43
1996-08-01,-8.29
1996-09-01,-13.427
1996-10-01,-12.036
1996-11-01,-6.4642
1996-12-01,-14.67
1997-01-01,-3.3089
1997-02-01,-3.4849
1997-03-01,-6.0988
1997-04-01,-6.0788
1997-05-01,-6.5304
1997-06-01,-6.4681
1997-07-01,-7.3492
1997-08-01,-13.975
1997-09-01,-13.725
1997-10-01,-10.88
1997-11-01,-14.974
1997-12-01,-8.3052
1998-01-01,-3.9086
1998-02-01,-4.729
1998-03-01,-4.871
1998-04-01,-6.8483
1998-05-01,-6.9631
1998-06-01,-9.604
1998-07-01,-5.9015
1998-08-01,-5.5085
1998-09-01,-14.235
1998-10-01,-11.098
1998-11-01,-8.9597
1998-12-01,-11.278
1999-01-01,-4.5384
1999-02-01,-5.6076
1999-03-01,-6.0621
1999-04-01,-8.1833
1999-05-01,-6.5846
1999-06-01,-5.0201
1999-07-01,-6.8673
1999-08-01,-7.2383
1999-09-01,-13.422
1999-10-01,-12.559
1999-11-01,-9.6719
1999-12-01,-10.542
2000-01-01,-5.9727
2000-02-01,-4.92
2000-03-01,-6.2262
2000-04-01,-4.4354
2000-05-01,-5.3735
2000-06-01,-5.8152
2000-07-01,-9.2361
2000-08-01,-8.8943
2000-09-01,-17.702
2000-10-01,-24.511
2000-11-01,-11.691
2000-12-01,-6.9281
2001-01-01,-2.8176
2001-02-01,-3.8263
2001-03-01,-5.1799
2001-04-01,-5.54
2001-05-01,-8.6817
2001-06-01,-9.7476
2001-07-01,-2.442
2001-08-01,-11.3
2001-09-01,-13.464
2001-10-01,-14.368
2001-11-01,-7.885
2001-12-01,-9.2476
2002-01-01,-5.6387
2002-02-01,-4.5298
2002-03-01,-5.4685
2002-04-01,-5.5247
2002-05-01,-7.9419
2002-06-01,-10.508
2002-07-01,-9.6602
2002-08-01,-14.138
2002-09-01,-26.563
2002-10-01,-8.1792
2002-11-01,-10.552
2002-12-01,-6.5766
2003-01-01,-3.4301
2003-02-01,-3.6642
2003-03-01,-5.8677
2003-04-01,-6.117
2003-05-01,-6.8592
2003-06-01,-4.9949
2003-07-01,-7.7528
2003-08-01,-10.211
2003-09-01,-14.088
2003-10-01,-21.434
2003-11-01,-10.464
2003-12-01,-6.7459
2004-01-01,-3.3058
2004-02-01,-4.9024
2004-03-01,-5.8199
2004-04-01,-7.5218
2004-05-01,-9.0854
2004-06-01,-4.0155
2004-07-01,-9.5989
2004-08-01,-10.49
2004-09-01,-14.437
2004-10-01,-13.669
2004-11-01,-10.957
2004-12-01,-8.5403
2005-01-01,-3.5975
2005-02-01,-3.7556
2005-03-01,-4.6305
2005-04-01,-7.7866
2005-05-01,-8.7178
2005-06-01,-9.6578
2005-07-01,-8.8471
2005-08-01,-10.94
2005-09-01,-16.307
2005-10-01,-18.14
2005-11-01,-13.488
2005-12-01,-8.1326
2006-01-01,-3.866
2006-02-01,-4.5276
2006-03-01,-4.9936
2006-04-01,-5.1476
2006-05-01,-6.0436
2006-06-01,-7.7125
2006-07-01,-5.2323
2006-08-01,-6.7231
2006-09-01,-13.72
2006-10-01,-11.175
2006-11-01,-10.111
2006-12-01,-11.802
2007-01-01,-5.9526
2007-02-01,-4.5237
2007-03-01,-5.592
2007-04-01,-6.6624
2007-05-01,-4.9888
2007-06-01,-10.773
2007-07-01,-11.342
2007-08-01,-8.1729
2007-09-01,-19.485
2007-10-01,-15.694
2007-11-01,-6.9186
2007-12-01,-8.2942
2008-01-01,-5.2475
2008-02-01,-4.8389
2008-03-01,-4.476
2008-04-01,-7.3131
2008-05-01,-8.4667
2008-06-01,-5.9772
2008-07-01,-5.5379
2008-08-01,-7.5711
2008-09-01,-12.495
2008-10-01,-17.31
2008-11-01,-7.607
2008-12-01,-9.2999
2009-01-01,-5.9233
2009-02-01,-3.1239
2009-03-01,-5.8341
2009-04-01,-5.1824
2009-05-01,-8.6367
2009-06-01,-5.7276
2009-07-01,-7.1004
2009-08-01,-9.2304
2009-09-01,-13.64
2009-10-01,-12.08
2009-11-01,-15.834
2009-12-01,-9.5042
2010-01-01,-3.4186
2010-02-01,-3.8298
2010-03-01,-6.396
2010-04-01,-5.2544
2010-05-01,-4.5522
2010-06-01,-7.0264
2010-07-01,-13.712
2010-08-01,-5.6042
2010-09-01,-12.886
2010-10-01,-11.708
2010-11-01,-5.0028
2010-12-01,-9.7825
2011-01-01,-5.6428
2011-02-01,-3.8678
2011-03-01,-5.3042
2011-04-01,-5.2136
2011-05-01,-6.0165
2011-06-01,-6.4798
2011-07-01,-11.27
2011-08-01,-6.129
2011-09-01,-11.623
2011-10-01,-13.541
2011-11-01,-13.662
2011-12-01,-9.4664
2012-01-01,-5.0841
2012-02-01,-4.0302
2012-03-01,-6.5392
2012-04-01,-5.3788
2012-05-01,-5.2084
2012-06-01,-6.1452
2012-07-01,-10.722
2012-08-01,-9.9948
2012-09-01,-17.106
2012-10-01,-19.91
2012-11-01,-16.053
2012-12-01,-4.5231
2013-01-01,-3.4541
2013-02-01,-4.1498
2013-03-01,-5.2236
2013-04-01,-5.8649
2013-05-01,-6.1064
2013-06-01,-7.2115
2013-07-01,-7.6879
2013-08-01,-8.9316
2013-09-01,-16.511
2013-10-01,-19.941
2013-11-01,-10.524
2013-12-01,-6.0405
2014-01-01,-3.3488
2014-02-01,-4.3002
2014-03-01,-5.9093
2014-04-01,-7.093
2014-05-01,-6.1564
2014-06-01,-6.7124
2014-07-01,-9.9462
2014-08-01,-10.612
2014-09-01,-11.3
2014-10-01,-22.12
2014-11-01,-12.119
2014-12-01,-7.0298
2015-01-01,-4.4504
2015-02-01,-4.3905
2015-03-01,-6.2595
2015-04-01,-5.7527
2015-05-01,-8.4675
2015-06-01,-6.4616
2015-07-01,-5.5538
2015-08-01,-6.775
2015-09-01,-12.195
2015-10-01,-9.2886
2015-11-01,-14.527
2015-12-01,-12.061
2016-01-01,-4.8271
2016-02-01,-5.0061
2016-03-01,-5.5835
2016-04-01,-6.7398
2016-05-01,-11.954
2016-06-01,-7.6699
2016-07-01,-10.116
2016-08-01,-10.371
2016-09-01,-15.117
2016-10-01,-17.592
2016-11-01,-18.907
2016-12-01,-3.7116
2017-01-01,-3.4372
2017-02-01,-3.8244
2017-03-01,-4.545
2017-04-01,-6.9129
2017-05-01,-5.7693
2017-06-01,-8.7326
2017-07-01,-8.0372
2017-08-01,-12.683
2017-09-01,-16.67
2017-10-01,-15.188
2017-11-01,-12.434
2017-12-01,-6.4369
2018-01-01,-3.729
2018-02-01,-3.2295
2018-03-01,-5.4068
2018-04-01,-7.3853
2018-05-01,-8.1792
2018-06-01,-5.684
2018-07-01,-7.7251
2018-08-01,-6.4443
2018-09-01,-13.539
2018-10-01,-11.403
2018-11-01,-18.157
2018-12-01,-9.0195
2019-01-01,-4.0949
2019-02-01,-4.8554
2019-03-01,-5.4139
2019-04-01,-5.2115
2019-05-01,-5.4453
2019-06-01,-9.0151
2019-07-01,-11.593
2019-08-01,-14.683
2019-09-01,-28.755
2019-10-01,-12.634
2019-11-01,-12.164
2019-12-01,-4.059
2020-01-01,-3.6386
2020-02-01,-4.7584
2020-03-01,-4.6625
2020-04-01,-6.9003
2020-05-01,-8.2766
2020-06-01,-5.4091
2020-07-01,-11.292
2020-08-01,-13.334
2020-09-01,-7.5387
2020-10-01,-8.9848
2020-11-01,-7.3472
2020-12-01,-15.129
2021-01-01,-4.8719
2021-02-01,-5.1153
2021-03-01,-5.7655
2021-04-01,-7.7031
2021-05-01,-6.2599
2021-06-01,-3.1529
2021-07-01,-6.2678
2021-08-01,-7.5486
2021-09-01,-10.271
2021-10-01,-10.603
2021-11-01,-11.349
2021-12-01,-11.027
2022-01-01,-6.0602
2022-02-01,-4.6646
2022-03-01,-5.7915
2022-04-01,-5.5796
2022-05-01,-6.0304
2022-06-01,-6.6259
2022-07-01,-6.4348
2022-08-01,-10.456
2022-09-01,-9.9606
2022-10-01,-8.0636
2022-11-01,-14.869
2022-12-01,-8.5085
2023-01-01,-6.3029
2023-02-01,-3.9972
2023-03-01,-4.9975
2023-04-01,-6.0579
2023-05-01,-6.0339
2023-06-01,-6.3066
2023-07-01,-13.122
2023-08-01,-6.8732
2023-09-01,-14.81
2023-10-01,-15.702
2023-11-01,-6.2529
2023-12-01,-11.521
2024-01-01,-5.2962
2024-02-01,-4.9359
2024-03-01,-7.1027
2024-04-01,-5.9114
2024-05-01,-11.294
2024-06-01,-10.348
2024-07-01,-15.425
2024-08-01,-8.5112
2024-09-01,-12.101
2024-10-01,-16.615
2024-11-01,-6.3428
2024-12-01,-9.7838
