date,MgII
1989-01-01,0.167629
1989-02-01,0.168105
1989-03-01,0.16624
1989-04-01,0.165825
1989-05-01,0.166884
1989-06-01,0.170385
1989-07-01,0.167315
1989-08-01,0.168465
1989-09-01,0.168216
1989-10-01,0.168456
1989-11-01,0.170033
1989-12-01,0.169163
1990-01-01,0.168228
1990-02-01,0.165459
1990-03-01,0.165424
1990-04-01,0.16632
1990-05-01,0.165412
1990-06-01,0.16488
1990-07-01,0.165538
1990-08-01,0.16747
1990-09-01,0.166396
1990-10-01,0.165955
1990-11-01,0.163041
1990-12-01,0.164652
1991-01-01,0.166596
1991-02-01,0.168916
1991-03-01,0.173323
1991-04-01,0.167759
1991-05-01,0.165832
1991-06-01,0.166986
1991-07-01,0.168478
1991-08-01,0.168647
1991-09-01,0.1668
1991-10-01,0.166462
1991-11-01,0.164503
1991-12-01,0.165776
1992-01-01,0.168244
1992-02-01,0.169268
1992-03-01,0.165527
1992-04-01,0.163725
1992-05-01,0.159975
1992-06-01,0.158629
1992-07-01,0.159335
1992-08-01,0.158216
1992-09-01,0.157718
1992-10-01,0.158557
1992-11-01,0.159685
1992-12-01,0.159783
1993-01-01,0.157797
1993-02-01,0.158313
1993-03-01,0.158807
1993-04-01,0.157515
1993-05-01,0.156732
1993-06-01,0.156948
1993-07-01,0.155827
1993-08-01,0.155021
1993-09-01,0.153478
1993-10-01,0.154081
1993-11-01,0.153969
1993-12-01,0.154866
1994-01-01,0.155347
1994-02-01,0.154962
1994-03-01,0.154226
1994-04-01,0.152712
1994-05-01,0.152692
1994-06-01,0.152498
1994-07-01,0.152702
1994-08-01,0.152247
1994-09-01,0.15222
1994-10-01,0.153208
1994-11-01,0.152726
1994-12-01,0.153091
1995-01-01,0.152737
1995-02-01,0.153705
1995-03-01,0.15311
1995-04-01,0.152148
1995-05-01,0.151916
1995-06-01,0.152275
1995-07-01,0.152227
1995-08-01,0.152264
1995-09-01,0.151936
1995-10-01,0.152305
1995-11-01,0.151951
1995-12-01,0.151664
1996-01-01,0.151713
1996-02-01,0.15127
1996-03-01,0.151039
1996-04-01,0.151052
1996-05-01,0.151343
1996-06-01,0.151543
1996-07-01,0.151678
1996-08-01,0.151944
1996-09-01,0.151676
1996-10-01,0.15129
1996-11-01,0.151844
1996-12-01,0.152357
1997-01-01,0.151806
1997-02-01,0.151759
1997-03-01,0.151943
1997-04-01,0.152018
1997-05-01,0.152454
1997-06-01,0.152153
1997-07-01,0.15217
1997-08-01,0.153072
1997-09-01,0.154393
1997-10-01,0.154108
1997-11-01,0.154924
1997-12-01,0.155095
1998-01-01,0.155056
1998-02-01,0.154515
1998-03-01,0.155652
1998-04-01,0.156861
1998-05-01,0.156549
1998-06-01,0.157059
1998-07-01,0.158891
1998-08-01,0.160004
1998-09-01,0.160011
1998-10-01,0.158902
1998-11-01,0.159885
1998-12-01,0.161476
1999-01-01,0.16083
1999-02-01,0.160452
1999-03-01,0.159291
1999-04-01,0.158219
1999-05-01,0.161709
1999-06-01,0.163465
1999-07-01,0.163499
1999-08-01,0.16361
1999-09-01,0.160943
1999-10-01,0.162714
1999-11-01,0.164522
1999-12-01,0.163665
2000-01-01,0.162888
2000-02-01,0.163873
2000-03-01,0.16616
2000-04-01,0.16627
2000-05-01,0.164477
2000-06-01,0.165068
2000-07-01,0.167386
2000-08-01,0.165529
2000-09-01,0.165119
2000-10-01,0.165162
2000-11-01,0.16611
2000-12-01,0.165205
2001-01-01,0.163849
2001-02-01,0.162286
2001-03-01,0.163481
2001-04-01,0.163591
2001-05-01,0.162433
2001-06-01,0.164452
2001-07-01,0.161995
2001-08-01,0.162942
2001-09-01,0.16753
2001-10-01,0.168347
2001-11-01,0.166978
2001-12-01,0.170042
2002-01-01,0.17131
2002-02-01,0.169525
2002-03-01,0.166767
2002-04-01,0.166538
2002-05-01,0.166242
2002-06-01,0.163834
2002-07-01,0.163611
2002-08-01,0.16509
2002-09-01,0.165404
2002-10-01,0.164324
2002-11-01,0.163552
2002-12-01,0.163841
2003-01-01,0.16229
2003-02-01,0.159555
2003-03-01,0.159544
2003-04-01,0.159134
2003-05-01,0.158017
2003-06-01,0.158448
2003-07-01,0.159419
2003-08-01,0.158991
2003-09-01,0.158056
2003-10-01,0.1594
2003-11-01,0.159382
2003-12-01,0.157581
2004-01-01,0.156907
2004-02-01,0.156545
2004-03-01,0.156589
2004-04-01,0.155976
2004-05-01,0.155488
2004-06-01,0.155769
2004-07-01,0.155762
2004-08-01,0.155676
2004-09-01,0.155491
2004-10-01,0.155798
2004-11-01,0.156361
2004-12-01,0.155183
2005-01-01,0.154672
2005-02-01,0.154295
2005-03-01,0.153459
2005-04-01,0.153198
2005-05-01,0.154433
2005-06-01,0.154045
2005-07-01,0.154436
2005-08-01,0.154106
2005-09-01,0.153392
2005-10-01,0.152184
2005-11-01,0.152568
2005-12-01,0.153607
2006-01-01,0.152571
2006-02-01,0.151729
2006-03-01,0.151538
2006-04-01,0.153247
2006-05-01,0.153179
2006-06-01,0.152304
2006-07-01,0.152255
2006-08-01,0.152082
2006-09-01,0.152238
2006-10-01,0.151908
2006-11-01,0.152548
2006-12-01,0.151905
2007-01-01,0.151827
2007-02-01,0.151155
2007-03-01,0.150965
2007-04-01,0.150942
2007-05-01,0.15134
2007-06-01,0.15166
2007-07-01,0.151464
2007-08-01,0.151241
2007-09-01,0.150698
2007-10-01,0.15062
2007-11-01,0.150549
2007-12-01,0.151135
2008-01-01,0.15124
2008-02-01,0.150843
2008-03-01,0.151074
2008-04-01,0.151175
2008-05-01,0.150981
2008-06-01,0.150588
2008-07-01,0.150575
2008-08-01,0.150662
2008-09-01,0.15058
2008-10-01,0.150746
2008-11-01,0.150621
2008-12-01,0.150323
2009-01-01,0.150315
2009-02-01,0.150425
2009-03-01,0.150455
2009-04-01,0.150443
2009-05-01,0.150935
2009-06-01,0.150927
2009-07-01,0.150675
2009-08-01,0.150467
2009-09-01,0.150828
2009-10-01,0.151212
2009-11-01,0.151588
2009-12-01,0.151863
2010-01-01,0.152321
2010-02-01,0.152982
2010-03-01,0.152855
2010-04-01,0.152594
2010-05-01,0.152495
2010-06-01,0.152324
2010-07-01,0.153299
2010-08-01,0.153372
2010-09-01,0.153804
2010-10-01,0.153189
2010-11-01,0.153358
2010-12-01,0.153359
2011-01-01,0.153153
2011-02-01,0.153886
2011-03-01,0.155964
2011-04-01,0.157636
2011-05-01,0.156093
2011-06-01,0.156233
2011-07-01,0.155723
2011-08-01,0.156265
2011-09-01,0.158742
2011-10-01,0.160007
2011-11-01,0.16172
2011-12-01,0.161214
2012-01-01,0.159659
2012-02-01,0.157474
2012-03-01,0.157699
2012-04-01,0.158064
2012-05-01,0.158842
2012-06-01,0.158999
2012-07-01,0.15901
2012-08-01,0.158983
2012-09-01,0.159774
2012-10-01,0.159244
2012-11-01,0.158809
2012-12-01,0.157478
2013-01-01,0.159116
2013-02-01,0.157237
2013-03-01,0.158198
2013-04-01,0.159361
2013-05-01,0.16131
2013-06-01,0.158791
2013-07-01,0.159202
2013-08-01,0.159469
2013-09-01,0.158082
2013-10-01,0.159556
2013-11-01,0.161074
2013-12-01,0.161619
2014-01-01,0.162014
2014-02-01,0.162748
2014-03-01,0.163113
2014-04-01,0.162106
2014-05-01,0.16044
2014-06-01,0.159068
2014-07-01,0.161029
2014-08-01,0.160547
2014-09-01,0.161644
2014-10-01,0.162135
2014-11-01,0.163062
2014-12-01,0.163108
2015-01-01,0.161969
2015-02-01,0.162154
2015-03-01,0.160962
2015-04-01,0.161318
2015-05-01,0.15998
