date,QBO_PC1,QBO_PC2
1989-01-01,-1.79753,0.239382
1989-02-01,-1.80816,0.0606561
1989-03-01,-2.00385,-0.078695
1989-04-01,-2.275,0.229366
1989-05-01,-2.04614,0.849036
1989-06-01,-1.01726,1.58186
1989-07-01,-0.148517,2.03928
1989-08-01,0.210066,2.00404
1989-09-01,0.348482,2.00924
1989-10-01,1.02676,2.06168
1989-11-01,1.60325,1.72208
1989-12-01,1.837,0.984489
1990-01-01,2.08872,0.388235
1990-02-01,2.47657,0.0894016
1990-03-01,2.69477,-0.428052
1990-04-01,2.65291,-0.994807
1990-05-01,1.85068,-1.55197
1990-06-01,1.00296,-1.8448
1990-07-01,0.435033,-1.81575
1990-08-01,0.290003,-1.90671
1990-09-01,-0.00683381,-1.95996
1990-10-01,-0.642518,-1.83117
1990-11-01,-1.24043,-1.49608
1990-12-01,-1.33511,-1.30458
1991-01-01,-0.982366,-1.32756
1991-02-01,-0.865171,-1.42615
1991-03-01,-1.19526,-1.33494
1991-04-01,-1.79437,-0.779469
1991-05-01,-2.26801,-0.0180896
1991-06-01,-1.92693,0.721945
1991-07-01,-1.35256,1.12029
1991-08-01,-0.901753,1.22296
1991-09-01,-0.659338,1.21203
1991-10-01,-0.501697,1.28185
1991-11-01,0.0102781,1.50715
1991-12-01,0.196777,1.39595
1992-01-01,0.212994,1.43769
1992-02-01,0.108186,1.37336
1992-03-01,0.465883,1.4901
1992-04-01,0.815839,1.50065
1992-05-01,1.3419,1.36121
1992-06-01,2.20498,1.14826
1992-07-01,2.76333,0.704418
1992-08-01,3.18652,0.321977
1992-09-01,3.27962,-0.0841594
1992-10-01,3.15444,-0.495832
1992-11-01,2.92735,-1.06019
1992-12-01,2.08808,-1.52079
1993-01-01,1.08404,-1.67007
1993-02-01,0.787001,-1.89677
1993-03-01,0.182339,-1.95569
1993-04-01,-0.538804,-1.94865
1993-05-01,-1.63706,-1.49068
1993-06-01,-2.12351,-0.724222
1993-07-01,-1.91949,-0.201091
1993-08-01,-1.76453,-0.146356
1993-09-01,-1.99988,-0.0836376
1993-10-01,-2.24087,0.139356
1993-11-01,-2.16364,0.472961
1993-12-01,-1.77642,0.724604
1994-01-01,-1.64327,0.82002
1994-02-01,-1.8503,0.89909
1994-03-01,-2.02531,1.00922
1994-04-01,-1.94302,1.36274
1994-05-01,-0.959091,1.94669
1994-06-01,0.799854,2.55209
1994-07-01,1.73886,2.55687
1994-08-01,2.46849,2.13604
1994-09-01,3.01869,1.36029
1994-10-01,3.35579,0.393721
1994-11-01,3.33399,-0.464141
1994-12-01,2.66525,-1.15143
1995-01-01,1.5354,-1.40994
1995-02-01,0.962387,-1.44704
1995-03-01,0.744006,-1.64231
1995-04-01,0.139488,-1.84339
1995-05-01,-0.77119,-1.83282
1995-06-01,-1.18409,-1.628
1995-07-01,-1.4759,-1.4718
