date,T_LS
1989-01-01,-62.620605
1989-02-01,-56.993286
1989-03-01,-52.441162
1989-04-01,-53.344086
1989-05-01,-48.761475
1989-06-01,-48.473923
1989-07-01,-46.773254
1989-08-01,-48.6192
1989-09-01,-50.067276
1989-10-01,-54.13153
1989-11-01,-58.291626
1989-12-01,-59.9198
1990-01-01,-64.28723
1990-02-01,-61.466553
1990-03-01,-60.173584
1990-04-01,-55.05011
1990-05-01,-51.9599
1990-06-01,-48.322876
1990-07-01,-47.616013
1990-08-01,-49.435608
1990-09-01,-52.31317
1990-10-01,-53.97351
1990-11-01,-58.30551
1990-12-01,-58.370667
1991-01-01,-60.32573
1991-02-01,-60.39833
1991-03-01,-57.29103
1991-04-01,-52.57753
1991-05-01,-47.185104
1991-06-01,-45.989883
1991-07-01,-46.820984
1991-08-01,-49.27089
1991-09-01,-49.01001
1991-10-01,-53.661346
1991-11-01,-57.27173
1991-12-01,-60.006042
1992-01-01,-63.57892
1992-02-01,-59.926315
1992-03-01,-57.931168
1992-04-01,-50.32129
1992-05-01,-50.334244
1992-06-01,-50.02478
1992-07-01,-46.89943
1992-08-01,-48.016937
1992-09-01,-51.110687
1992-10-01,-53.967133
1992-11-01,-58.642914
1992-12-01,-57.23459
1993-01-01,-63.675873
1993-02-01,-63.977356
1993-03-01,-56.08716
1993-04-01,-57.02797
1993-05-01,-51.87024
1993-06-01,-47.283707
1993-07-01,-47.808594
1993-08-01,-49.769653
1993-09-01,-51.760376
1993-10-01,-54.434814
1993-11-01,-58.76129
1993-12-01,-61.71965
1994-01-01,-61.94272
1994-02-01,-60.53569
1994-03-01,-61.91652
1994-04-01,-51.734024
1994-05-01,-48.502533
1994-06-01,-46.298233
1994-07-01,-48.497284
1994-08-01,-50.132446
1994-09-01,-50.860687
1994-10-01,-53.74594
1994-11-01,-56.55278
1994-12-01,-58.84604
1995-01-01,-66.10666
1995-02-01,-58.606445
1995-03-01,-59.14296
1995-04-01,-52.25177
1995-05-01,-50.51062
1995-06-01,-49.23059
1995-07-01,-46.683517
1995-08-01,-47.727356
1995-09-01,-51.556534
1995-10-01,-54.37123
1995-11-01,-58.173264
1995-12-01,-60.800797
1996-01-01,-64.27821
1996-02-01,-65.750244
1996-03-01,-62.019867
1996-04-01,-55.565125
1996-05-01,-49.470886
1996-06-01,-46.869965
1996-07-01,-47.00551
1996-08-01,-50.93857
1996-09-01,-52.5394
1996-10-01,-54.61415
1996-11-01,-56.560028
1996-12-01,-57.051773
1997-01-01,-60.008102
1997-02-01,-62.307632
1997-03-01,-60.368713
1997-04-01,-60.144577
1997-05-01,-50.784958
1997-06-01,-48.016113
1997-07-01,-49.802658
1997-08-01,-49.922745
1997-09-01,-50.593277
1997-10-01,-52.308273
1997-11-01,-57.75177
1997-12-01,-63.091644
1998-01-01,-61.159683
1998-02-01,-61.750168
1998-03-01,-58.938477
1998-04-01,-51.947937
1998-05-01,-48.672012
1998-06-01,-46.301483
1998-07-01,-46.030533
1998-08-01,-47.339355
1998-09-01,-51.757492
1998-10-01,-53.550583
1998-11-01,-59.4664
1998-12-01,-57.68347
1999-01-01,-58.573044
1999-02-01,-59.946014
1999-03-01,-55.893158
1999-04-01,-51.840714
1999-05-01,-49.095016
1999-06-01,-49.41606
1999-07-01,-46.277237
1999-08-01,-47.36122
1999-09-01,-52.39868
1999-10-01,-53.10356
1999-11-01,-57.86357
1999-12-01,-60.803146
2000-01-01,-62.535294
2000-02-01,-62.318863
2000-03-01,-59.213913
2000-04-01,-54.338394
2000-05-01,-50.55287
2000-06-01,-47.417603
2000-07-01,-48.553925
2000-08-01,-48.90332
