date,T_MS
1989-01-01,-75.84306
1989-02-01,-49.593475
1989-03-01,-52.660507
1989-04-01,-54.424118
1989-05-01,-47.856796
1989-06-01,-44.69005
1989-07-01,-43.24785
1989-08-01,-45.33278
1989-09-01,-51.787613
1989-10-01,-62.01866
1989-11-01,-70.01643
1989-12-01,-71.17787
1990-01-01,-76.46214
1990-02-01,-67.56554
1990-03-01,-59.95018
1990-04-01,-54.10579
1990-05-01,-47.58281
1990-06-01,-43.88524
1990-07-01,-43.264908
1990-08-01,-45.36734
1990-09-01,-51.667023
1990-10-01,-60.06656
1990-11-01,-66.57297
1990-12-01,-70.84633
1991-01-01,-62.977097
1991-02-01,-64.85416
1991-03-01,-65.41969
1991-04-01,-52.482147
1991-05-01,-46.83841
1991-06-01,-43.79709
1991-07-01,-43.10057
1991-08-01,-45.322113
1991-09-01,-50.184906
1991-10-01,-59.726425
1991-11-01,-67.94795
1991-12-01,-72.11293
1992-01-01,-72.92563
1992-02-01,-67.22575
1992-03-01,-61.264618
1992-04-01,-48.15895
1992-05-01,-46.99417
1992-06-01,-44.097733
1992-07-01,-42.860733
1992-08-01,-45.99533
1992-09-01,-52.876846
1992-10-01,-59.719513
1992-11-01,-69.40303
1992-12-01,-69.011154
1993-01-01,-72.36282
1993-02-01,-70.57834
1993-03-01,-57.897354
1993-04-01,-54.830658
1993-05-01,-47.835587
1993-06-01,-43.72899
1993-07-01,-43.726593
1993-08-01,-46.093475
1993-09-01,-51.65909
1993-10-01,-60.919083
1993-11-01,-68.63054
1993-12-01,-74.33763
1994-01-01,-72.07207
1994-02-01,-61.988678
1994-03-01,-68.04765
1994-04-01,-50.146866
1994-05-01,-45.75804
1994-06-01,-43.17685
1994-07-01,-43.62523
1994-08-01,-46.014496
1994-09-01,-51.71849
1994-10-01,-61.313812
1994-11-01,-67.35576
1994-12-01,-69.8625
1995-01-01,-75.7007
1995-02-01,-60.350113
1995-03-01,-61.636566
1995-04-01,-52.328476
1995-05-01,-47.615646
1995-06-01,-45.26848
1995-07-01,-43.374542
1995-08-01,-46.578094
1995-09-01,-52.363663
1995-10-01,-61.26303
1995-11-01,-70.02135
1995-12-01,-72.13948
1996-01-01,-79.05771
1996-02-01,-72.27957
1996-03-01,-61.68332
1996-04-01,-51.440704
1996-05-01,-46.76091
1996-06-01,-44.215805
1996-07-01,-43.354538
1996-08-01,-47.11815
1996-09-01,-53.228165
1996-10-01,-62.429413
1996-11-01,-68.199615
1996-12-01,-71.95914
1997-01-01,-73.64
1997-02-01,-69.52426
1997-03-01,-66.178055
1997-04-01,-57.722
1997-05-01,-45.853195
1997-06-01,-43.67552
1997-07-01,-43.784134
1997-08-01,-47.39052
1997-09-01,-52.05742
1997-10-01,-59.87607
1997-11-01,-69.93672
1997-12-01,-76.284836
1998-01-01,-70.5562
1998-02-01,-68.841385
1998-03-01,-62.930862
1998-04-01,-51.431732
1998-05-01,-47.44548
1998-06-01,-44.920563
1998-07-01,-43.222076
1998-08-01,-45.377792
1998-09-01,-53.368362
1998-10-01,-60.703156
1998-11-01,-70.47963
1998-12-01,-64.87453
1999-01-01,-67.27016
1999-02-01,-68.71724
1999-03-01,-53.77684
1999-04-01,-55.02382
1999-05-01,-48.282486
1999-06-01,-46.01242
1999-07-01,-43.47609
1999-08-01,-45.413986
1999-09-01,-54.094986
1999-10-01,-60.560226
1999-11-01,-70.395676
1999-12-01,-75.302216
2000-01-01,-74.6443
2000-02-01,-65.8542
2000-03-01,-60.182846
2000-04-01,-54.251785
2000-05-01,-47.88698
2000-06-01,-44.33615
2000-07-01,-44.010147
2000-08-01,-46.114944
2000-09-01,-53.673508
2000-10-01,-61.515945
2000-11-01,-71.77736
2000-12-01,-62.08339
2001-01-01,-73.978
2001-02-01,-60.748398
2001-03-01,-57.811783
2001-04-01,-55.807297
2001-05-01,-48.79454
2001-06-01,-44.543365
2001-07-01,-43.807205
2001-08-01,-46.105423
2001-09-01,-52.834427
2001-10-01,-61.084488
2001-11-01,-70.21715
2001-12-01,-69.37294
2002-01-01,-68.72484
2002-02-01,-63.82419
2002-03-01,-56.98886
2002-04-01,-54.621185
2002-05-01,-49.785995
2002-06-01,-44.59543
2002-07-01,-44.17592
2002-08-01,-47.183273
2002-09-01,-53.28038
2002-10-01,-60.48381
2002-11-01,-71.04471
2002-12-01,-75.84807
2003-01-01,-65.20747
2003-02-01,-68.05142
2003-03-01,-66.197525
2003-04-01,-52.68254
2003-05-01,-46.636063
2003-06-01,-43.26674
2003-07-01,-44.446335
2003-08-01,-46.19211
2003-09-01,-52.455948
2003-10-01,-61.11331
2003-11-01,-68.51071
2003-12-01,-73.5242
2004-01-01,-65.164764
2004-02-01,-66.49887
2004-03-01,-62.76213
2004-04-01,-59.181
2004-05-01,-46.656693
2004-06-01,-43.360992
2004-07-01,-44.123734
2004-08-01,-46.305527
2004-09-01,-53.237762
2004-10-01,-62.292343
2004-11-01,-69.60634
2004-12-01,-70.44478
2005-01-01,-74.6089
2005-02-01,-74.64406
2005-03-01,-57.26956
2005-04-01,-50.637253
2005-05-01,-47.57289
2005-06-01,-44.281967
2005-07-01,-43.937668
2005-08-01,-46.77542
2005-09-01,-52.493332
2005-10-01,-63.209915
2005-11-01,-70.513214
2005-12-01,-74.72148
2006-01-01,-68.870255
2006-02-01,-59.56227
2006-03-01,-62.7294
2006-04-01,-53.85994
2006-05-01,-48.753265
2006-06-01,-44.632523
2006-07-01,-43.452103
2006-08-01,-46.89943
2006-09-01,-52.88536
2006-10-01,-61.954636
2006-11-01,-65.54213
2006-12-01,-74.623566
2007-01-01,-72.65773
2007-02-01,-69.14267
2007-03-01,-62.567245
2007-04-01,-54.90352
2007-05-01,-46.70981
2007-06-01,-43.898483
2007-07-01,-43.49153
2007-08-01,-46.28508
2007-09-01,-51.323532
2007-10-01,-62.931732
2007-11-01,-69.82417
2007-12-01,-75.21956
2008-01-01,-75.67569
2008-02-01,-68.30824
2008-03-01,-54.75876
2008-04-01,-53.86766
2008-05-01,-48.65364
2008-06-01,-44.037308
2008-07-01,-43.55809
2008-08-01,-45.27774
2008-09-01,-52.97551
2008-10-01,-60.437607
2008-11-01,-69.917206
2008-12-01,-76.196686
2009-01-01,-61.843124
2009-02-01,-53.397934
2009-03-01,-60.32834
2009-04-01,-58.257828
2009-05-01,-49.29973
2009-06-01,-44.11891
2009-07-01,-43.25682
2009-08-01,-46.381546
2009-09-01,-52.80217
2009-10-01,-60.466843
2009-11-01,-70.31862
2009-12-01,-71.2424
2010-01-01,-78.03783
2010-02-01,-55.72664
2010-03-01,-60.1194
2010-04-01,-58.386566
2010-05-01,-47.918106
2010-06-01,-43.47368
2010-07-01,-44.50026
2010-08-01,-45.580048
2010-09-01,-52.617416
2010-10-01,-61.466522
2010-11-01,-68.12898
2010-12-01,-72.990524
2011-01-01,-67.202805
2011-02-01,-67.39859
2011-03-01,-63.172073
2011-04-01,-53.114105
2011-05-01,-46.368515
2011-06-01,-44.827682
2011-07-01,-44.427887
2011-08-01,-46.614716
2011-09-01,-52.537994
2011-10-01,-61.59868
2011-11-01,-67.89491
2011-12-01,-73.87456
2012-01-01,-73.17186
2012-02-01,-68.89925
2012-03-01,-61.760666
2012-04-01,-49.885635
2012-05-01,-48.02513
2012-06-01,-44.10518
2012-07-01,-43.411224
2012-08-01,-46.268448
2012-09-01,-52.36264
2012-10-01,-61.055374
2012-11-01,-68.14584
2012-12-01,-78.1671
2013-01-01,-58.150925
2013-02-01,-64.25047
2013-03-01,-63.91745
2013-04-01,-57.67607
2013-05-01,-47.69014
2013-06-01,-44.402725
2013-07-01,-43.339767
2013-08-01,-46.418198
2013-09-01,-53.057297
2013-10-01,-61.940567
2013-11-01,-65.52585
2013-12-01,-71.906845
2014-01-01,-76.417755
2014-02-01,-68.74808
2014-03-01,-64.117935
2014-04-01,-48.77646
2014-05-01,-46.54985
2014-06-01,-43.663437
2014-07-01,-44.26712
2014-08-01,-45.89647
2014-09-01,-52.901413
2014-10-01,-62.076492
2014-11-01,-72.32675
2014-12-01,-70.74887
2015-01-01,-61.60666
2015-02-01,-68.95744
2015-03-01,-62.3405
2015-04-01,-51.490707
2015-05-01,-46.106216
2015-06-01,-43.021866
2015-07-01,-42.338913
2015-08-01,-46.750473
2015-09-01,-53.20877
2015-10-01,-60.056503
2015-11-01,-67.107925
2015-12-01,-74.237045
2016-01-01,-76.364044
2016-02-01,-75.22014
2016-03-01,-55.71263
2016-04-01,-50.470535
2016-05-01,-48.412643
2016-06-01,-44.434402
2016-07-01,-43.972748
2016-08-01,-46.307938
2016-09-01,-52.852676
2016-10-01,-61.476425
2016-11-01,-69.53682
2016-12-01,-71.24069
2017-01-01,-69.67656
2017-02-01,-71.639145
2017-03-01,-59.646225
2017-04-01,-53.209763
2017-05-01,-47.634415
2017-06-01,-44.14351
2017-07-01,-44.004623
2017-08-01,-46.67714
2017-09-01,-54.28694
2017-10-01,-61.9487
2017-11-01,-67.832794
2017-12-01,-76.771255
2018-01-01,-75.854996
2018-02-01,-54.524612
2018-03-01,-54.860443
2018-04-01,-54.5045
2018-05-01,-49.79753
2018-06-01,-44.16971
2018-07-01,-45.054825
2018-08-01,-46.24362
2018-09-01,-51.48024
2018-10-01,-58.801895
2018-11-01,-68.98056
2018-12-01,-73.627884
2019-01-01,-57.999435
2019-02-01,-66.82376
2019-03-01,-64.79872
2019-04-01,-59.79103
2019-05-01,-45.713333
2019-06-01,-44.08699
2019-07-01,-43.738174
2019-08-01,-46.02939
2019-09-01,-52.900406
2019-10-01,-61.62123
2019-11-01,-72.19028
2019-12-01,-75.53055
2020-01-01,-74.25461
2020-02-01,-70.66231
2020-03-01,-53.414276
2020-04-01,-55.485672
2020-05-01,-45.03276
2020-06-01,-44.29393
2020-07-01,-42.82289
2020-08-01,-46.29576
2020-09-01,-51.67807
2020-10-01,-60.83304
2020-11-01,-66.64534
2020-12-01,-76.097946
2021-01-01,-67.60263
2021-02-01,-62.2424
2021-03-01,-62.70729
2021-04-01,-55.183
2021-05-01,-46.773605
2021-06-01,-45.258224
2021-07-01,-44.09384
2021-08-01,-46.627777
2021-09-01,-53.920563
2021-10-01,-63.18123
2021-11-01,-67.91177
2021-12-01,-74.1622
2022-01-01,-72.860306
2022-02-01,-65.01848
2022-03-01,-59.804596
2022-04-01,-48.82419
2022-05-01,-46.670273
2022-06-01,-44.942352
2022-07-01,-43.79947
2022-08-01,-47.242508
2022-09-01,-52.37259
2022-10-01,-61.70433
2022-11-01,-67.0654
2022-12-01,-72.45122
2023-01-01,-77.47749
2023-02-01,-68.617874
2023-03-01,-54.358
2023-04-01,-55.88469
2023-05-01,-49.01657
2023-06-01,-44.91725
2023-07-01,-43.504425
2023-08-01,-47.59099
2023-09-01,-53.636063
2023-10-01,-60.911087
2023-11-01,-69.6949
2023-12-01,-76.62221
2024-01-01,-70.20279
2024-02-01,-71.501236
2024-03-01,-56.386185
2024-04-01,-54.13713
2024-05-01,-48.362885
2024-06-01,-44.44333
2024-07-01,-43.90219
2024-08-01,-46.75998
2024-09-01,-54.161774
2024-10-01,-61.07242
2024-11-01,-69.844315
2024-12-01,-74.06999
