year mon day ICE_N   NAT_N    ICE_S    NAT_S 
 1994  1  1   0.0000   7.8539   0.0000   0.0000
 1994  1  2   0.0000   4.2089   0.0000   0.0000
 1994  1  3   0.0000   2.3462   0.0000   0.0000
 1994  1  4   0.0000   1.0608   0.0000   0.0000
 1994  1  5   0.0000   1.5232   0.0000   0.0000
 1994  1  6   0.0000   6.7338   0.0000   0.0000
 1994  1  7   0.0000   5.1422   0.0000   0.0000
 1994  1  8   0.0000   2.0236   0.0000   0.0000
 1994  1  9   0.0000   3.3346   0.0000   0.0000
 1994  1 10   0.0000   5.9184   0.0000   0.0000
 1994  1 11   0.0000   7.7992   0.0000   0.0000
 1994  1 12   0.0000   7.9120   0.0000   0.0000
 1994  1 13   0.0000   4.1522   0.0000   0.0000
 1994  1 14   0.0000   4.5698   0.0000   0.0000
 1994  1 15   0.0000   7.1647   0.0000   0.0000
 1994  1 16   0.0000  13.5116   0.0000   0.0000
 1994  1 17   0.0000  17.2716   0.0000   0.0000
 1994  1 18   0.0000  19.5523   0.0000   0.0000
 1994  1 19   0.0000  22.6488   0.0000   0.0000
 1994  1 20   0.0000  21.8939   0.0000   0.0000
 1994  1 21   0.0000  16.3451   0.0000   0.0000
 1994  1 22   0.0000   8.0245   0.0000   0.0000
 1994  1 23   0.0000   5.2027   0.0000   0.0000
 1994  1 24   0.0000   6.2504   0.0000   0.0000
 1994  1 25   0.0000   6.3210   0.0000   0.0000
 1994  1 26   0.0000   5.9358   0.0000   0.0000
 1994  1 27   0.0000   5.4054   0.0000   0.0000
 1994  1 28   0.0000   8.5336   0.0000   0.0000
 1994  1 29   0.0000   8.8103   0.0000   0.0000
 1994  1 30   0.0000  10.9391   0.0000   0.0000
 1994  1 31   0.0000  13.1190   0.0000   0.0000
 1994  2  1   0.0000  16.9686   0.0000   0.0000
 1994  2  2   0.0000  13.5959   0.0000   0.0000
 1994  2  3   0.0000   6.8187   0.0000   0.0000
 1994  2  4   0.0000   0.0000   0.0000   0.0000
